6.0250 	DATA 	Keypress: right
6.0375 	EXP 	fixation: autoDraw = False
6.0375 	EXP 	grating: autoDraw = False
6.0375 	EXP 	grating: ori = -12.0
6.0375 	EXP 	fixation: autoDraw = True
6.5382 	INFO 	Keyboard events cleared
6.5376 	EXP 	fixation: autoDraw = False
6.5376 	EXP 	grating: autoDraw = True
6.6420 	DATA 	Keypress: right
6.6543 	EXP 	fixation: autoDraw = False
6.6543 	EXP 	grating: autoDraw = False
6.6543 	EXP 	grating: ori = 13.0
6.6543 	EXP 	fixation: autoDraw = True
7.1424 	DATA 	Keypress: left
7.1551 	INFO 	Keyboard events cleared
7.1544 	EXP 	fixation: autoDraw = False
7.1544 	EXP 	grating: autoDraw = True
7.4543 	EXP 	grating: autoDraw = False
7.6578 	DATA 	Keypress: left
7.6705 	EXP 	fixation: autoDraw = False
7.6705 	EXP 	grating: autoDraw = False
7.6705 	EXP 	grating: ori = 14.0
7.6705 	EXP 	fixation: autoDraw = True
8.1722 	INFO 	Keyboard events cleared
8.1711 	EXP 	fixation: autoDraw = False
8.1711 	EXP 	grating: autoDraw = True
8.2418 	DATA 	Keypress: left
8.2547 	EXP 	fixation: autoDraw = False
8.2547 	EXP 	grating: autoDraw = False
8.2547 	EXP 	grating: ori = 15.0
8.2547 	EXP 	fixation: autoDraw = True
8.7550 	INFO 	Keyboard events cleared
8.7542 	EXP 	fixation: autoDraw = False
8.7542 	EXP 	grating: autoDraw = True
8.8080 	DATA 	Keypress: right
8.8203 	EXP 	fixation: autoDraw = False
8.8203 	EXP 	grating: autoDraw = False
8.8203 	EXP 	grating: ori = 15.0
8.8203 	EXP 	fixation: autoDraw = True
9.2900 	DATA 	Keypress: right
9.3212 	INFO 	Keyboard events cleared
9.3206 	EXP 	fixation: autoDraw = False
9.3206 	EXP 	grating: autoDraw = True
9.6204 	EXP 	grating: autoDraw = False
9.9251 	DATA 	Keypress: left
9.9368 	EXP 	fixation: autoDraw = False
9.9368 	EXP 	grating: autoDraw = False
9.9368 	EXP 	grating: ori = -16.0
9.9368 	EXP 	fixation: autoDraw = True
10.4386 	INFO 	Keyboard events cleared
10.4378 	EXP 	fixation: autoDraw = False
10.4378 	EXP 	grating: autoDraw = True
10.6249 	DATA 	Keypress: right
10.6375 	EXP 	fixation: autoDraw = False
10.6375 	EXP 	grating: autoDraw = False
10.6375 	EXP 	grating: ori = -17.0
10.6375 	EXP 	fixation: autoDraw = True
11.0237 	DATA 	Keypress: left
11.1385 	INFO 	Keyboard events cleared
