stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.02170099993236363,,0.0035761999897658825,0.02170099993236363,0.5049217999912798,0.5049217999912798,0.5209176999051124,0.8037888999097049,3.026272299932316,left,-10.0,1,1,2.514618900138885,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
1,1,8.0,3.037919099908322,,3.0264429000671953,3.037919099908322,3.537922899937257,3.537922899937257,3.537922899937257,3.837854800047353,4.40606619999744,right,8.0,0,0,0.8510962000582367,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
2,1,9.0,4.4211591999046504,,4.406251200009137,4.4211591999046504,4.921155499992892,4.921155499992892,4.921155499992892,,5.1394161998759955,right,9.0,1,1,0.21616820013150573,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
3,1,9.0,5.154705999884754,,5.139619400026277,5.154705999884754,5.654519299976528,5.654519299976528,5.654519299976528,,5.7886272999458015,left,-9.0,1,1,0.1284314999356866,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
4,1,9.0,5.804606100078672,,5.788761500036344,5.804606100078672,6.287915899883956,6.287915899883956,6.3041715999133885,6.58825089992024,6.755525900050998,left,-9.0,1,1,0.46096749999560416,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
5,1,8.0,6.771046099951491,,6.755669299978763,6.771046099951491,7.256228199927136,7.256228199927136,7.272900399984792,,7.373954399954528,right,8.0,1,1,0.11297480016946793,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
6,1,8.0,7.3883491000160575,,7.374109799973667,7.3883491000160575,7.887873699888587,7.887873699888587,7.887873699888587,,8.110520099988207,left,-8.0,1,1,None,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
7,1,8.0,8.121576099889353,,8.110659600002691,8.121576099889353,8.623191900085658,8.623191900085658,8.623191900085658,,8.8075494999066,left,-8.0,1,1,0.1672462997958064,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
8,0.5,7.0,8.823247599881142,,8.80783659988083,8.823247599881142,9.321727500064299,9.321727500064299,9.33798999991268,9.62124289991334,9.757840899983421,right,7.0,0,0,0.4236235001590103,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
9,0.5,7.5,9.772904299898073,,9.758037999970838,9.772904299898073,10.271058900048956,10.271058900048956,10.287722599925473,10.57088949996978,10.65562149998732,left,-7.5,1,1,0.37860609986819327,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
10,0.5,7.5,10.670896499883384,,10.655812399927527,10.670896499883384,11.171037500025705,11.171037500025705,11.171037500025705,,11.188798199873418,left,-7.5,0,0,0.011366999940946698,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
11,0.5,8.0,11.20447720005177,,11.188937299884856,11.20447720005177,11.687904099933803,11.687904099933803,11.704428700031713,11.988031700020656,12.172100299969316,left,-8.0,0,0,0.4722424999345094,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
12,0.5,8.5,12.187541000079364,,12.172249299939722,12.187541000079364,12.68793429993093,12.68793429993093,12.68793429993093,12.987728100037202,12.98911889991723,right,8.5,1,1,0.292907000053674,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
13,0.5,8.5,13.004022700013593,,12.989258199930191,13.004022700013593,13.504314499907196,13.504314499907196,13.504314499907196,13.804110799916089,13.855242700083181,left,-8.5,0,0,0.3374228000175208,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
14,0.5,9.0,13.870635899947956,,13.855404899921268,13.870635899947956,14.354148299898952,14.354148299898952,14.370866399956867,14.654117600061,14.741497699869797,right,9.0,1,1,0.3677217001095414,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
15,0.5,9.0,14.756764000048861,,14.741950300056487,14.756764000048861,15.256442700047046,15.256442700047046,15.256442700047046,15.57061959989369,15.58833170006983,left,-9.0,0,0,0.31875370000489056,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
16,0.5,9.5,15.603944899979979,,15.588491099886596,15.603944899979979,16.104110500076786,16.104110500076786,16.104110500076786,16.40407819999382,16.45546770002693,right,9.5,1,1,0.3407606000546366,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
17,0.5,9.5,16.470665199914947,,16.455656100064516,16.470665199914947,16.97089089988731,16.97089089988731,16.97089089988731,17.2708024000749,17.32168329996057,left,-9.5,1,1,0.33728610002435744,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
18,0.5,9.5,17.3373873999808,,17.321822799975052,17.3373873999808,17.837661899859086,17.837661899859086,17.837661899859086,,18.105048599885777,right,9.5,0,0,0.25298079987987876,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
19,0.5,10.0,18.120681500062346,,18.105243899859488,18.120681500062346,18.60382950003259,18.60382950003259,18.62073009996675,18.90422119991854,18.92195630003698,left,-10.0,0,0,0.3150397001300007,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
20,0.5,10.5,18.93747829995118,,18.92209789995104,18.93747829995118,19.422564500011504,19.422564500011504,19.438870100071654,,19.624600399984047,left,-10.5,1,1,0.19883550005033612,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
21,0.5,10.5,19.638909599976614,,19.62488629994914,19.638909599976614,20.13886779989116,20.13886779989116,20.13886779989116,20.438279799884185,20.440700799925253,right,10.5,0,0,0.28961300011724234,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
22,0.5,11.0,20.455889999866486,,20.440992699936032,20.455889999866486,20.9537044998724,20.9537044998724,20.97026910004206,,21.17420729994774,left,-11.0,0,0,0.18176790000870824,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
23,0.5,11.5,21.189886499894783,,21.174420499941334,21.189886499894783,21.687276399927214,21.687276399927214,21.703978199977428,21.988149599870667,21.990908599924296,left,-11.5,0,0,0.29368819994851947,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
24,0.5,12.0,22.00468249991536,,21.991292499937117,22.00468249991536,22.50532649992965,22.50532649992965,22.50532649992965,22.804976799990982,22.941553599899635,left,-12.0,0,0,0.42863979982212186,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
25,0.5,12.5,22.954991499893367,,22.941876200027764,22.954991499893367,23.45524729997851,23.45524729997851,23.45524729997851,23.754218799993396,24.27811779989861,right,12.5,1,1,0.8201665999367833,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
26,0.5,12.5,24.289168799994513,,24.27840349986218,24.289168799994513,24.78993560001254,24.78993560001254,24.78993560001254,,24.892189899925143,right,12.5,1,1,0.08766560000367463,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
27,0.5,12.5,24.906306500080973,,24.892538300016895,24.906306500080973,25.40475680003874,25.40475680003874,25.421700400067493,25.70559999998659,25.757073299959302,left,-12.5,0,0,0.34529419988393784,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
28,0.5,13.0,25.770059400005266,,25.7573609999381,25.770059400005266,26.272252300055698,26.272252300055698,26.272252300055698,,26.43859750009142,right,13.0,1,1,0.15707769989967346,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
29,0.5,13.0,26.45376339997165,,26.43882879987359,26.45376339997165,26.953621899941936,26.953621899941936,26.953621899941936,27.25560720008798,27.24074749997817,right,13.0,1,1,0.279078499879688,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
30,0.5,13.0,27.25560720008798,,27.241036100080237,27.25560720008798,27.754780699964613,27.754780699964613,27.754780699964613,,27.92221869993955,right,13.0,1,1,0.16340449987910688,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
31,0.5,12.5,27.937568800058216,,27.92243989999406,27.937568800058216,28.436793999979272,28.436793999979272,28.436793999979272,28.73686209996231,28.95450529991649,right,12.5,0,0,0.5008898999076337,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
32,0.5,13.0,28.9700782999862,,28.95471840002574,28.9700782999862,29.45466240006499,29.45466240006499,29.471891599940136,,29.60696529992856,right,13.0,0,0,0.1466604999732226,049826,001,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.387504988326604,2024-09-06 13h57.55.538460 +0530,
