words,number_of_letters,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp_2.started,ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,text_2.started,text.started,key_resp.started,fixation.stopped,text_2.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.002797699999064207,0.00730579998344183,0.00730579998344183,1.3095847999793477,space,1.2921038000495173,None,,,,,,,,,,,,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
importent,9,left,0,0,0,left,1.2617308999761008,None,0,0,0,63,1.333522200002335,,,,,,,,,1.3277743000071496,1.333522200002335,1.333522200002335,2.3217889000079595,2.3217889000079595,2.338290899991989,2.338290899991989,3.5894934000098146,left,1.2617308999761008,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
anf,3,left,1,1,0,left,0.6189128999831155,None,0,1,1,3,3.6053509999765083,,,,,,,,,3.5914398999884725,3.6053509999765083,3.6053509999765083,4.604691800021101,4.604691800021101,4.604691800021101,4.604691800021101,5.239320599997882,left,0.6189128999831155,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
woy,3,left,2,2,0,left,0.43045370001345873,None,0,2,2,1,5.25500489998376,,,,,,,,,5.2410475999931805,5.25500489998376,5.25500489998376,6.254670800000895,6.254670800000895,6.254670800000895,6.254670800000895,6.689251400006469,left,0.43045370001345873,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
quesdion,8,left,3,3,0,left,0.6265165999648161,None,0,3,3,55,6.705176400020719,,,,,,,,,6.691636300005484,6.705176400020719,6.705176400020719,7.705173599999398,7.705173599999398,7.705173599999398,7.705173599999398,8.33918349997839,left,0.6265165999648161,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
becone,6,left,4,4,0,left,0.6208509999560192,None,0,4,4,33,8.35474099998828,,,,,,,,,8.34126339998329,8.35474099998828,8.35474099998828,9.354581299994607,9.354581299994607,9.354581299994607,9.354581299994607,9.98940219997894,left,0.6208509999560192,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
want,4,right,5,5,0,right,0.6965860000345856,None,0,5,5,10,10.004740000003949,,,,,,,,,9.99124900001334,10.004740000003949,10.004740000003949,11.004851099976804,11.004851099976804,11.004851099976804,11.004851099976804,11.705807899998035,right,0.6965860000345856,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
their,5,right,6,6,0,right,0.6370194000191987,None,0,6,6,20,11.721418200002518,,,,,,,,,11.708070799999405,11.721418200002518,11.721418200002518,12.721127400000114,12.721127400000114,12.721127400000114,12.721127400000114,13.372442199965008,right,0.6370194000191987,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
courd,5,left,7,7,0,left,0.5098265000269748,None,0,7,7,29,13.388041500002146,,,,,,,,,13.37431819998892,13.388041500002146,13.388041500002146,14.387929999968037,14.387929999968037,14.387929999968037,14.387929999968037,14.905835399986245,left,0.5098265000269748,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
for,3,right,8,8,0,right,0.5943429000326432,None,0,8,8,6,14.921175799972843,,,,,,,,,14.907587800000329,14.921175799972843,14.921175799972843,15.920862899976783,15.920862899976783,15.920862899976783,15.920862899976783,16.521880200016312,right,0.5943429000326432,None,,,,,093415,001,2024-12-04_16h44.22.108,soloprojectlexical,2024.2.1post4,59.98098603626426,2024-12-04 16h44.30.530679 +0530,
