words,number_of_letters,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp_2.started,ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,text_2.started,text.started,key_resp.started,fixation.stopped,text_2.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.00247859995579347,0.005734499951358885,0.005734499951358885,0.9618286999757402,space,0.9449607999995351,None,,,,,,,,,,,,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
shoule,6,left,0,0,0,left,0.7218273000326008,None,0,0,0,31,0.9821817999472842,,,,,,,,,0.9770390999619849,0.9821817999472842,0.9821817999472842,1.9733949999790639,1.9733949999790639,1.990115299995523,1.990115299995523,2.707988399954047,left,0.7218273000326008,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
experience,10,right,1,1,0,right,0.7326848999946378,None,0,1,1,72,2.7232483999687247,,,,,,,,,2.712861799984239,2.7232483999687247,2.7232483999687247,3.7233506999909878,3.7233506999909878,3.7233506999909878,3.7233506999909878,4.458054799993988,right,0.7326848999946378,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
especially,10,right,2,2,0,right,0.969350699975621,None,0,2,2,74,4.47330630000215,,,,,,,,,4.460516999999527,4.47330630000215,4.47330630000215,5.473228899994865,5.473228899994865,5.473228899994865,5.473228899994865,6.457827899954282,right,0.969350699975621,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
beliefe,7,left,3,3,0,right,0.7562296999967657,None,0,3,3,49,6.473261599952821,,,,,,,,,6.46032389998436,6.473261599952821,6.473261599952821,7.472978199948557,7.472978199948557,7.472978199948557,7.472978199948557,8.241128499968909,right,0.7562296999967657,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
play,4,right,4,4,0,right,0.5834215000504628,None,0,4,4,14,8.25659689999884,,,,,,,,,8.242940499971155,8.25659689999884,8.25659689999884,9.256624699977692,9.256624699977692,9.256624699977692,9.256624699977692,9.841919199971016,right,0.5834215000504628,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
eferything,10,left,5,5,0,left,0.7493282000068575,None,0,5,5,71,9.856506699987222,,,,,,,,,9.844434099970385,9.856506699987222,9.856506699987222,10.856500199995935,10.856500199995935,10.856500199995935,10.856500199995935,11.608047399960924,left,0.7493282000068575,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
political,9,right,6,6,0,right,0.7034139999886975,None,0,6,6,64,11.623017899983097,,,,,,,,,11.610771199979354,11.623017899983097,11.623017899983097,12.623060899961274,12.623060899961274,12.623060899961274,12.623060899961274,13.340905699995346,right,0.7034139999886975,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
becone,6,left,7,7,0,left,0.585620799975004,None,0,7,7,33,13.356293599994387,,,,,,,,,13.343303199973889,13.356293599994387,13.356293599994387,14.356305499968585,14.356305499968585,14.356305499968585,14.356305499968585,14.95750749995932,left,0.585620799975004,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
anything,8,right,8,8,0,right,0.9963020000141114,None,0,8,8,56,14.973004299972672,,,,,,,,,14.959674199984875,14.973004299972672,14.973004299972672,15.972895099956077,15.972895099956077,15.972895099956077,15.972895099956077,16.973639899981208,right,0.9963020000141114,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
way,3,right,9,9,0,right,0.617991000006441,None,0,9,9,0,16.989596899948083,,,,,,,,,16.97559279995039,16.989596899948083,16.989596899948083,17.972805099969264,17.972805099969264,17.989416699972935,17.989416699972935,18.6073558999924,right,0.617991000006441,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
country,7,right,10,10,0,left,0.542819399968721,None,0,10,10,42,18.62278979999246,,,,,,,,,18.60945399996126,18.62278979999246,18.62278979999246,19.622564999968745,19.622564999968745,19.622564999968745,19.622564999968745,20.173645599978045,left,0.542819399968721,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
could,5,right,11,11,0,right,0.5926894000149332,None,0,11,11,28,20.18932369997492,,,,,,,,,20.175732799980324,20.18932369997492,20.18932369997492,21.189308999979403,21.189308999979403,21.189308999979403,21.189308999979403,21.790558199980296,right,0.5926894000149332,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
research,8,right,12,12,0,right,0.717090799997095,None,0,12,12,58,21.80634819995612,,,,,,,,,21.792341299995314,21.80634819995612,21.80634819995612,22.805966999963857,22.805966999963857,22.805966999963857,22.805966999963857,23.54035839997232,right,0.717090799997095,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
technology,10,right,13,13,0,right,0.732781300030183,None,0,13,13,76,23.555926399945747,,,,,,,,,23.542800299997907,23.555926399945747,23.555926399945747,24.555745799967553,24.555745799967553,24.555745799967553,24.555745799967553,25.290557899978012,right,0.732781300030183,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
question,8,right,14,14,0,right,0.5169057000312023,None,0,14,14,54,25.30583679996198,,,,,,,,,25.29230579995783,25.30583679996198,25.30583679996198,26.305708899977617,26.305708899977617,26.305708899977617,26.305708899977617,26.82434219995048,right,0.5169057000312023,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
everything,10,right,15,15,0,right,0.5732157999882475,None,0,15,15,70,26.83910519996425,,,,,,,,,26.828738699958194,26.83910519996425,26.83910519996425,27.83903889998328,27.83903889998328,27.83903889998328,27.83903889998328,28.42346089996863,right,0.5732157999882475,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
thenk,5,left,16,16,0,left,0.625113100046292,None,0,16,16,25,28.43903989996761,,,,,,,,,28.425342099973932,28.43903989996761,28.43903989996761,29.439070599968545,29.439070599968545,29.439070599968545,29.439070599968545,30.073322599986568,left,0.625113100046292,None,,,,,462351,001,2024-12-04_16h40.56.895,soloprojectlexical,2024.2.1post4,60.030315316440166,2024-12-04 16h41.21.736093 +0530,
