words,number_of_letters,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp_2.started,ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,text_2.started,text.started,key_resp.started,fixation.stopped,text_2.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.020011099986732006,0.03484029998071492,0.03484029998071492,1.643648299970664,space,1.594947699981276,None,,,,,,,,,,,,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
lipe,4,left,0,0,0,left,1.8353036999469623,None,0,0,0,19,1.6833360999589786,,,,,,,,,1.6655951999709941,1.6833360999589786,1.6833360999589786,2.6516814999631606,2.6516814999631606,2.6849441999802366,2.6849441999802366,4.488974399981089,left,1.8353036999469623,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
especialty,10,left,1,1,0,left,1.4345602999674156,None,0,1,1,75,4.501528299995698,,,,,,,,,4.490929499967024,4.501528299995698,4.501528299995698,5.501309199957177,5.501309199957177,5.501309199957177,5.501309199957177,6.937037699972279,left,1.4345602999674156,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
woy,3,left,2,2,0,left,0.8211192000308074,None,0,2,2,1,6.950885300000664,,,,,,,,,6.938518299954012,6.950885300000664,6.950885300000664,7.95080869999947,7.95080869999947,7.95080869999947,7.95080869999947,8.787625099997967,left,0.8211192000308074,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
bopulation,10,left,3,3,0,left,0.6908897999674082,None,0,3,3,79,8.800517799973022,,,,,,,,,8.790037199971266,8.800517799973022,8.800517799973022,9.801196599961258,9.801196599961258,9.801196599961258,9.801196599961258,10.504906499991193,left,0.6908897999674082,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
population,10,right,4,4,0,right,3.8252496999921277,None,0,4,4,78,10.517801299982239,,,,,,,,,10.507190999982413,10.517801299982239,10.517801299982239,11.517627199995331,11.517627199995331,11.517627199995331,11.517627199995331,15.354777499975171,right,3.8252496999921277,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
new,3,right,5,5,0,right,0.6818074999609962,None,0,5,5,4,15.367670599953271,,,,,,,,,15.356726299971342,15.367670599953271,15.367670599953271,16.367062599980272,16.367062599980272,16.367062599980272,16.367062599980272,17.054706499970052,right,0.6818074999609962,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
remember,8,right,6,6,0,right,0.6291027999832295,None,0,6,6,52,17.067086199996993,,,,,,,,,17.058610899955966,17.067086199996993,17.067086199996993,18.06710220000241,18.06710220000241,18.06710220000241,18.06710220000241,18.70434169995133,right,0.6291027999832295,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
out,3,right,7,7,0,right,1.7490360999945551,None,0,7,7,8,18.71767230000114,,,,,,,,,18.706073499983177,18.71767230000114,18.71767230000114,19.71709920000285,19.71709920000285,19.71709920000285,19.71709920000285,21.470784599951003,right,1.7490360999945551,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
compane,7,left,8,8,0,right,1.417541800008621,None,0,8,8,47,21.484228599991184,,,,,,,,,21.472824700002093,21.484228599991184,21.484228599991184,22.48390259995358,22.48390259995358,22.48390259995358,22.48390259995358,23.904336699983105,right,1.417541800008621,None,,,,,075490,001,2024-12-04_16h23.45.680,soloprojectlexical,2024.2.1post4,60.27676679065893,2024-12-04 16h23.53.156162 +0530,
