12.9113 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.9114 	EXP 	window1: mouseVisible = False
12.9173 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.03, 0.03]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
12.9174 	EXP 	window1: mouseVisible = False
12.9185 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.9186 	EXP 	window1: mouseVisible = False
12.9251 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='<- non-words              words ->', units='height', win=Window(...), wrapWidth=1)
12.9253 	EXP 	window1: mouseVisible = False
12.9319 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you for participating!', units='height', win=Window(...), wrapWidth=1)
0.0353 	INFO 	Keyboard events cleared
0.0348 	EXP 	text_4: autoDraw = True
1.6565 	DEBUG 	Read excel file with openpyxl: conds.xlsx
1.6619 	EXP 	Imported conds.xlsx as conditions, 80 conditions, 3 params
1.6631 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'words': 'lipe', 'number_of_letters': 4, 'corrAns': 'left', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.6686 	DATA 	Keypress: space
1.6833 	EXP 	text_4: autoDraw = False
1.6833 	EXP 	text: height = 0.05
1.6833 	EXP 	text: height = 0.05
1.6833 	EXP 	text: height = 0.05
1.6833 	EXP 	text: text = 'lipe'
1.6833 	EXP 	fixation: autoDraw = True
1.6833 	EXP 	text_2: autoDraw = True
2.6521 	INFO 	Keyboard events cleared
2.6517 	EXP 	text: autoDraw = True
2.6849 	EXP 	fixation: autoDraw = False
2.6849 	EXP 	text_2: autoDraw = False
4.4891 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'words': 'especialty', 'number_of_letters': 10, 'corrAns': 'left', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
4.4922 	DATA 	Keypress: left
4.5015 	EXP 	fixation: autoDraw = False
4.5015 	EXP 	text: autoDraw = False
4.5015 	EXP 	text_2: autoDraw = False
4.5015 	EXP 	text: height = 0.05
4.5015 	EXP 	text: height = 0.05
4.5015 	EXP 	text: height = 0.05
4.5015 	EXP 	text: text = 'especialty'
4.5015 	EXP 	fixation: autoDraw = True
4.5015 	EXP 	text_2: autoDraw = True
5.5020 	INFO 	Keyboard events cleared
5.5013 	EXP 	fixation: autoDraw = False
5.5013 	EXP 	text: autoDraw = True
5.5013 	EXP 	text_2: autoDraw = False
6.9371 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'words': 'woy', 'number_of_letters': 3, 'corrAns': 'left', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
6.9396 	DATA 	Keypress: left
6.9509 	EXP 	fixation: autoDraw = False
6.9509 	EXP 	text: autoDraw = False
6.9509 	EXP 	text_2: autoDraw = False
6.9509 	EXP 	text: height = 0.05
6.9509 	EXP 	text: height = 0.05
6.9509 	EXP 	text: height = 0.05
6.9509 	EXP 	text: text = 'woy'
6.9509 	EXP 	fixation: autoDraw = True
6.9509 	EXP 	text_2: autoDraw = True
7.9513 	INFO 	Keyboard events cleared
7.9508 	EXP 	fixation: autoDraw = False
7.9508 	EXP 	text: autoDraw = True
7.9508 	EXP 	text_2: autoDraw = False
8.7736 	DATA 	Keypress: left
8.7877 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'words': 'bopulation', 'number_of_letters': 10, 'corrAns': 'left', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
8.8005 	EXP 	fixation: autoDraw = False
8.8005 	EXP 	text: autoDraw = False
8.8005 	EXP 	text_2: autoDraw = False
8.8005 	EXP 	text: height = 0.05
