words,number_of_letters,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp_2.started,ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,text_2.started,text.started,key_resp.started,fixation.stopped,text_2.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.002344899985473603,0.006247500015888363,0.006247500015888363,1.3969728000229225,space,1.3831802000058815,None,,,,,,,,,,,,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
factor,6,right,0,0,0,right,1.1540583000169136,None,0,0,0,34,1.41645120002795,,,,,,,,,1.4107691000099294,1.41645120002795,1.41645120002795,2.4085965999984182,2.4085965999984182,2.4250997999915853,2.4250997999915853,3.5761312000104226,right,1.1540583000169136,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
decade,6,right,1,1,0,right,1.1476303999661468,None,0,1,1,36,3.5915551999933086,,,,,,,,,3.578895199985709,3.5915551999933086,3.5915551999933086,4.591893700009678,4.591893700009678,4.591893700009678,4.591893700009678,5.744188499986194,right,1.1476303999661468,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
fector,6,left,2,2,0,left,0.5744226999813691,None,0,2,2,35,5.758400399994571,,,,,,,,,5.750200300011784,5.758400399994571,5.758400399994571,6.75846390001243,6.75846390001243,6.75846390001243,6.75846390001243,7.343067399982829,left,0.5744226999813691,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
program,7,right,3,3,0,right,1.0007909000269137,None,0,3,3,40,7.358010900032241,,,,,,,,,7.3471622000215575,7.358010900032241,7.358010900032241,8.358209100028034,8.358209100028034,8.358209100028034,8.358209100028034,9.376155400008429,right,1.0007909000269137,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
hour,4,right,4,4,0,right,0.5978654999635182,None,0,4,4,16,9.39168719999725,,,,,,,,,9.37854810000863,9.39168719999725,9.39168719999725,10.391779600002337,10.391779600002337,10.391779600002337,10.391779600002337,10.993004499992821,right,0.5978654999635182,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
importent,9,left,5,5,0,right,0.7979019000194967,None,0,5,5,63,11.00824769999599,,,,,,,,,10.996047399996314,11.00824769999599,11.00824769999599,12.008284299983643,12.008284299983643,12.008284299983643,12.008284299983643,12.809426499996334,right,0.7979019000194967,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
especially,10,right,6,6,0,right,0.7988026000093669,None,0,6,6,74,12.824674699979369,,,,,,,,,12.812226500012912,12.824674699979369,12.824674699979369,13.82451539998874,13.82451539998874,13.82451539998874,13.82451539998874,14.625796900014393,right,0.7988026000093669,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
mech,4,left,7,7,0,left,0.6335747000412084,None,0,7,7,13,14.641257599985693,,,,,,,,,14.628952700004447,14.641257599985693,14.641257599985693,15.641523600032087,15.641523600032087,15.641523600032087,15.641523600032087,16.292534800013527,left,0.6335747000412084,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
sistem,6,left,8,8,0,left,1.0112096999655478,None,0,8,8,39,16.307766399986576,,,,,,,,,16.29604109999491,16.307766399986576,16.307766399986576,17.3079665999976,17.3079665999976,17.3079665999976,17.3079665999976,18.325371299986728,left,1.0112096999655478,None,,,,,542811,001,2024-12-04_16h31.19.242,soloprojectlexical,2024.2.1post4,60.04949279832082,2024-12-04 16h31.26.227431 +0530,
