stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,16.0,7.935230299830437,,7.9212700999341905,7.935230299830437,8.435281799873337,8.435281799873337,8.435281799873337,8.73548709996976,8.754700599936768,right,16.0,1,1,0.316160999936983,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
11,1,16.0,8.769006799906492,,8.755166499875486,8.769006799906492,9.268423199886456,9.268423199886456,9.268423199886456,,9.521517199929804,left,-16.0,0,0,0.24798809993080795,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
12,1,17.0,9.535178799880669,,9.521813999861479,9.535178799880669,10.034555499907583,10.034555499907583,10.034555499907583,,10.271253499900922,left,-17.0,0,0,0.22798119997605681,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
13,1,18.0,10.284447300015017,,10.271578899817541,10.284447300015017,10.784743499942124,10.784743499942124,10.784743499942124,,10.902961099985987,left,-18.0,0,0,0.10667859995737672,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
14,1,19.0,10.918213999830186,,10.90331369987689,10.918213999830186,11.418386299861595,11.418386299861595,11.418386299861595,11.718471199972555,11.769178399816155,right,19.0,1,1,0.3412985000759363,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
15,1,19.0,11.801085199927911,,11.769445599988103,11.801085199927911,12.268107999814674,12.268107999814674,12.302041799994186,,12.404976999852806,left,-19.0,0,0,0.1327122999355197,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
16,1,20.0,12.41837379988283,,12.405337400035933,12.41837379988283,12.918088499922305,12.918088499922305,12.918088499922305,,13.120836299844086,right,20.0,1,1,0.19153980002738535,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
17,1,20.0,13.135918200016022,,13.121123699937016,13.135918200016022,13.634907099884003,13.634907099884003,13.634907099884003,,13.839495599968359,right,20.0,1,1,0.19785439991392195,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
18,1,20.0,13.851988299982622,,13.839794599916786,13.851988299982622,14.351784099824727,14.351784099824727,14.351784099824727,,14.505255699856207,left,-20.0,0,0,0.14764049998484552,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
19,1,20.0,14.518304999917746,,14.505582799902186,14.518304999917746,15.018054599873722,15.018054599873722,15.018054599873722,,15.154573099920526,right,20.0,1,1,0.1320457998663187,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
