5.0850 	EXP 	grating: ori = -13.0
5.0850 	EXP 	fixation: autoDraw = True
5.4046 	DATA 	Keypress: left
5.5861 	INFO 	Keyboard events cleared
5.5853 	EXP 	fixation: autoDraw = False
5.5853 	EXP 	grating: autoDraw = True
5.7235 	DATA 	Keypress: right
5.7354 	EXP 	fixation: autoDraw = False
5.7354 	EXP 	grating: autoDraw = False
5.7354 	EXP 	grating: ori = 14.0
5.7354 	EXP 	fixation: autoDraw = True
6.0888 	DATA 	Keypress: left
6.2364 	INFO 	Keyboard events cleared
6.2356 	EXP 	fixation: autoDraw = False
6.2356 	EXP 	grating: autoDraw = True
6.5233 	DATA 	Keypress: right
6.5356 	EXP 	grating: autoDraw = False
6.5356 	EXP 	fixation: autoDraw = False
6.5356 	EXP 	grating: autoDraw = False
6.5356 	EXP 	grating: ori = -14.0
6.5356 	EXP 	fixation: autoDraw = True
6.8712 	DATA 	Keypress: left
7.0361 	INFO 	Keyboard events cleared
7.0352 	EXP 	fixation: autoDraw = False
7.0352 	EXP 	grating: autoDraw = True
7.2396 	DATA 	Keypress: right
7.2517 	EXP 	fixation: autoDraw = False
7.2517 	EXP 	grating: autoDraw = False
7.2517 	EXP 	grating: ori = -15.0
7.2517 	EXP 	fixation: autoDraw = True
7.5564 	DATA 	Keypress: left
7.7529 	INFO 	Keyboard events cleared
7.7520 	EXP 	fixation: autoDraw = False
7.7520 	EXP 	grating: autoDraw = True
7.9233 	DATA 	Keypress: right
7.9352 	EXP 	fixation: autoDraw = False
7.9352 	EXP 	grating: autoDraw = False
7.9352 	EXP 	grating: ori = 16.0
7.9352 	EXP 	fixation: autoDraw = True
8.3547 	DATA 	Keypress: left
8.4363 	INFO 	Keyboard events cleared
8.4353 	EXP 	fixation: autoDraw = False
8.4353 	EXP 	grating: autoDraw = True
8.7355 	EXP 	grating: autoDraw = False
8.7573 	DATA 	Keypress: right
8.7690 	EXP 	fixation: autoDraw = False
8.7690 	EXP 	grating: autoDraw = False
8.7690 	EXP 	grating: ori = -16.0
8.7690 	EXP 	fixation: autoDraw = True
9.1214 	DATA 	Keypress: left
9.2694 	INFO 	Keyboard events cleared
9.2684 	EXP 	fixation: autoDraw = False
9.2684 	EXP 	grating: autoDraw = True
9.5239 	DATA 	Keypress: right
9.5352 	EXP 	fixation: autoDraw = False
9.5352 	EXP 	grating: autoDraw = False
9.5352 	EXP 	grating: ori = -17.0
9.5352 	EXP 	fixation: autoDraw = True
9.9387 	DATA 	Keypress: left
10.0354 	INFO 	Keyboard events cleared
10.0346 	EXP 	fixation: autoDraw = False
10.0346 	EXP 	grating: autoDraw = True
10.2737 	DATA 	Keypress: right
10.2844 	EXP 	fixation: autoDraw = False
10.2844 	EXP 	grating: autoDraw = False
10.2844 	EXP 	grating: ori = -18.0
10.2844 	EXP 	fixation: autoDraw = True
10.5879 	DATA 	Keypress: left
10.7857 	INFO 	Keyboard events cleared
10.7847 	EXP 	fixation: autoDraw = False
10.7847 	EXP 	grating: autoDraw = True
10.9056 	DATA 	Keypress: right
10.9182 	EXP 	fixation: autoDraw = False
10.9182 	EXP 	grating: autoDraw = False
10.9182 	EXP 	grating: ori = 19.0
10.9182 	EXP 	fixation: autoDraw = True
11.2546 	DATA 	Keypress: right
11.3713 	DATA 	Keypress: left
11.4193 	INFO 	Keyboard events cleared
11.4184 	EXP 	fixation: autoDraw = False
11.4184 	EXP 	grating: autoDraw = True
11.7185 	EXP 	grating: autoDraw = False
11.7711 	DATA 	Keypress: right
11.8011 	EXP 	fixation: autoDraw = False
11.8011 	EXP 	grating: autoDraw = False
11.8011 	EXP 	grating: ori = -19.0
11.8011 	EXP 	fixation: autoDraw = True
12.0895 	DATA 	Keypress: left
12.2692 	INFO 	Keyboard events cleared
12.2681 	EXP 	grating: autoDraw = True
12.3020 	EXP 	fixation: autoDraw = False
12.4074 	DATA 	Keypress: right
12.4184 	EXP 	fixation: autoDraw = False
12.4184 	EXP 	grating: autoDraw = False
12.4184 	EXP 	grating: ori = 20.0
12.4184 	EXP 	fixation: autoDraw = True
12.7539 	DATA 	Keypress: left
12.9190 	INFO 	Keyboard events cleared
12.9181 	EXP 	fixation: autoDraw = False
12.9181 	EXP 	grating: autoDraw = True
13.1232 	DATA 	Keypress: right
13.1359 	EXP 	fixation: autoDraw = False
13.1359 	EXP 	grating: autoDraw = False
13.1359 	EXP 	grating: ori = 20.0
13.1359 	EXP 	fixation: autoDraw = True
13.4212 	DATA 	Keypress: left
13.6358 	INFO 	Keyboard events cleared
13.6349 	EXP 	fixation: autoDraw = False
13.6349 	EXP 	grating: autoDraw = True
13.8423 	DATA 	Keypress: right
13.8520 	EXP 	fixation: autoDraw = False
13.8520 	EXP 	grating: autoDraw = False
13.8520 	EXP 	grating: ori = -20.0
13.8520 	EXP 	fixation: autoDraw = True
14.1375 	DATA 	Keypress: left
14.3525 	INFO 	Keyboard events cleared
14.3518 	EXP 	fixation: autoDraw = False
14.3518 	EXP 	grating: autoDraw = True
14.5077 	DATA 	Keypress: right
14.5183 	EXP 	fixation: autoDraw = False
14.5183 	EXP 	grating: autoDraw = False
14.5183 	EXP 	grating: ori = 20.0
14.5183 	EXP 	fixation: autoDraw = True
14.8047 	DATA 	Keypress: left
15.0188 	INFO 	Keyboard events cleared
15.0181 	EXP 	fixation: autoDraw = False
15.0181 	EXP 	grating: autoDraw = True
15.1568 	DATA 	Keypress: right
15.1683 	EXP 	fixation: autoDraw = False
15.1683 	EXP 	grating: autoDraw = False
15.1683 	EXP 	grating: ori = 20.0
15.1683 	EXP 	fixation: autoDraw = True
15.5050 	DATA 	Keypress: left
