stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
18,1,19.0,15.52067290013656,,15.505861399928108,15.52067290013656,16.02106840000488,16.02106840000488,16.02106840000488,16.473154400009662,left,-19.0,1,1,0.4478986000176519,16.320026900153607,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
19,1,18.0,16.48688010009937,,16.47347389999777,16.48688010009937,16.988093600142747,16.988093600142747,16.988093600142747,17.0390528999269,right,18.0,1,1,0.03568440000526607,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
20,1,18.0,17.053871500073,,17.039410199970007,17.053871500073,17.55353090004064,17.55353090004064,17.55353090004064,18.0056004000362,right,18.0,1,1,0.44860010012052953,17.853876100154594,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
21,1,18.0,18.019704000093043,,18.005883200094104,18.019704000093043,18.52037569996901,18.52037569996901,18.52037569996901,18.988805700093508,right,18.0,1,1,0.4611031000968069,18.820141300093383,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
22,0.5,17.0,19.003552600042894,,18.989110599970445,19.003552600042894,19.503667199984193,19.503667199984193,19.503667199984193,19.889981999993324,left,-17.0,0,0,0.37670390005223453,19.8036917001009,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
23,0.5,17.5,19.90355210006237,,19.890285599976778,19.90355210006237,20.404206699924543,20.404206699924543,20.404206699924543,20.721970200072974,right,17.5,1,1,0.3043345999903977,20.703452700050548,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
24,0.5,17.5,20.73671770002693,,20.722312099998817,20.73671770002693,21.236742899985984,21.236742899985984,21.236742899985984,21.721726099960506,right,17.5,0,0,0.4681912998203188,21.537198800127953,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
25,0.5,18.0,21.73739350005053,,21.72203280008398,21.73739350005053,22.23662060010247,22.23662060010247,22.23662060010247,22.256299500120804,right,18.0,1,1,0.01588750001974404,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
26,0.5,18.0,22.27034780010581,,22.256604300113395,22.27034780010581,22.77083700010553,22.77083700010553,22.77083700010553,23.07355899992399,right,18.0,1,1,0.30006220005452633,23.07094549993053,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
27,0.5,18.0,23.086835599970073,,23.07399239996448,23.086835599970073,23.5868120000232,23.5868120000232,23.5868120000232,23.938942400040105,left,-18.0,0,0,0.3360121001023799,23.886964299948886,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
