6.3101 	EXP 	fixation: autoDraw = False
6.3101 	EXP 	text: autoDraw = False
6.3101 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
6.3101 	EXP 	text: text = 'RED'
6.3101 	EXP 	fixation: autoDraw = True
6.8175 	INFO 	Keyboard events cleared
6.8169 	EXP 	fixation: autoDraw = False
6.8169 	EXP 	text: autoDraw = True
8.1517 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'BLUE', 'colour': 'red', 'stm_condition': 'I', 'correct_res': 'r', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
8.1602 	DATA 	Keypress: b
8.1669 	EXP 	fixation: autoDraw = False
8.1669 	EXP 	text: autoDraw = False
8.1669 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
8.1669 	EXP 	text: height = 0.05
8.1669 	EXP 	text: height = 0.05
8.1669 	EXP 	text: height = 0.05
8.1669 	EXP 	text: text = 'BLUE'
8.1669 	EXP 	fixation: autoDraw = True
8.6674 	INFO 	Keyboard events cleared
8.6669 	EXP 	fixation: autoDraw = False
8.6669 	EXP 	text: autoDraw = True
9.7351 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'word': 'BLUE', 'colour': 'blue', 'stm_condition': 'C', 'correct_res': 'b', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
9.7364 	DATA 	Keypress: r
9.7503 	EXP 	fixation: autoDraw = False
9.7503 	EXP 	text: autoDraw = False
9.7503 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
9.7503 	EXP 	text: text = 'BLUE'
9.7503 	EXP 	fixation: autoDraw = True
10.2514 	INFO 	Keyboard events cleared
10.2504 	EXP 	fixation: autoDraw = False
10.2504 	EXP 	text: autoDraw = True
11.2030 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'word': 'RED', 'colour': 'blue', 'stm_condition': 'I', 'correct_res': 'b', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
11.2094 	DATA 	Keypress: b
11.2168 	EXP 	fixation: autoDraw = False
11.2168 	EXP 	text: autoDraw = False
