9.7364 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
9.9477 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E706410>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E706470>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E705120>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001925BE20B80>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 240.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.9477 	EXP 	window1: backgroundImage = ''
9.9478 	EXP 	window1: backgroundFit = 'none'
9.9481 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9482 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9515 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9520 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9808 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9809 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9816 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9821 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001925E704EB0>
9.9968 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.9969 	EXP 	window1: recordFrameIntervals = False
10.1639 	EXP 	window1: recordFrameIntervals = True
10.3333 	WARNING 	t of last frame was 20.50ms (=1/48)
10.4984 	EXP 	Screen (0) actual frame rate measured at 60.72Hz
10.4985 	EXP 	window1: recordFrameIntervals = False
10.4986 	EXP 	window1: mouseVisible = True
10.5379 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
12.9204 	INFO 	keyboard.Keyboard is using iohub backend.
12.9205 	INFO 	keyboard.Keyboard is using iohub backend.
12.9205 	EXP 	Adaptive staircase: status = STARTED
12.9207 	EXP 	window1: mouseVisible = True
12.9244 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
12.9245 	EXP 	window1: mouseVisible = True
12.9278 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0175 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0353 	EXP 	grating: ori = 10.0
0.0353 	EXP 	fixation: autoDraw = True
0.5192 	INFO 	Keyboard events cleared
0.5186 	EXP 	grating: autoDraw = True
0.5186 	EXP 	grating: tex = 'sin'
0.5357 	EXP 	fixation: autoDraw = False
0.8189 	EXP 	grating: autoDraw = False
0.8749 	DATA 	Keypress: left
0.8852 	EXP 	fixation: autoDraw = False
0.8852 	EXP 	grating: autoDraw = False
0.8852 	EXP 	grating: ori = -12.0
0.8852 	EXP 	fixation: autoDraw = True
1.3865 	INFO 	Keyboard events cleared
1.3860 	EXP 	fixation: autoDraw = False
1.3860 	EXP 	grating: autoDraw = True
1.6854 	EXP 	grating: autoDraw = False
1.8715 	DATA 	Keypress: right
1.8853 	EXP 	fixation: autoDraw = False
1.8853 	EXP 	grating: autoDraw = False
1.8853 	EXP 	grating: ori = -14.0
1.8853 	EXP 	fixation: autoDraw = True
2.2702 	DATA 	Keypress: left
2.3859 	INFO 	Keyboard events cleared
2.3854 	EXP 	fixation: autoDraw = False
2.3854 	EXP 	grating: autoDraw = True
2.6856 	EXP 	grating: autoDraw = False
3.1382 	DATA 	Keypress: right
3.1525 	EXP 	fixation: autoDraw = False
3.1525 	EXP 	grating: autoDraw = False
3.1525 	EXP 	grating: ori = -16.0
3.1525 	EXP 	fixation: autoDraw = True
3.6530 	INFO 	Keyboard events cleared
3.6524 	EXP 	fixation: autoDraw = False
3.6524 	EXP 	grating: autoDraw = True
3.7381 	DATA 	Keypress: left
3.7523 	EXP 	fixation: autoDraw = False
3.7523 	EXP 	grating: autoDraw = False
3.7523 	EXP 	grating: ori = -15.0
3.7523 	EXP 	fixation: autoDraw = True
4.2522 	INFO 	Keyboard events cleared
4.2518 	EXP 	fixation: autoDraw = False
4.2518 	EXP 	grating: autoDraw = True
4.4377 	DATA 	Keypress: right
4.4522 	EXP 	fixation: autoDraw = False
4.4522 	EXP 	grating: autoDraw = False
4.4522 	EXP 	grating: ori = -16.0
4.4522 	EXP 	fixation: autoDraw = True
4.9200 	DATA 	Keypress: left
4.9526 	INFO 	Keyboard events cleared
4.9521 	EXP 	fixation: autoDraw = False
4.9521 	EXP 	grating: autoDraw = True
5.2521 	EXP 	grating: autoDraw = False
5.4878 	DATA 	Keypress: right
5.5022 	EXP 	fixation: autoDraw = False
5.5022 	EXP 	grating: autoDraw = False
5.5022 	EXP 	grating: ori = 17.0
5.5022 	EXP 	fixation: autoDraw = True
5.9040 	DATA 	Keypress: left
5.9863 	INFO 	Keyboard events cleared
5.9857 	EXP 	grating: autoDraw = True
6.0023 	EXP 	fixation: autoDraw = False
6.2853 	EXP 	grating: autoDraw = False
6.4584 	DATA 	Keypress: right
6.4704 	EXP 	fixation: autoDraw = False
6.4704 	EXP 	grating: autoDraw = False
6.4704 	EXP 	grating: ori = -17.0
6.4704 	EXP 	fixation: autoDraw = True
6.8866 	DATA 	Keypress: left
6.9710 	INFO 	Keyboard events cleared
6.9703 	EXP 	fixation: autoDraw = False
6.9703 	EXP 	grating: autoDraw = True
7.2703 	EXP 	grating: autoDraw = False
7.4395 	DATA 	Keypress: right
7.4529 	EXP 	fixation: autoDraw = False
7.4529 	EXP 	grating: autoDraw = False
