7.8879 	EXP 	fixation: autoDraw = False
7.8879 	EXP 	grating: autoDraw = True
7.8902 	DATA 	Keypress: left
8.1216 	EXP 	fixation: autoDraw = False
8.1216 	EXP 	grating: autoDraw = False
8.1216 	EXP 	grating: ori = -8.0
8.1216 	EXP 	fixation: autoDraw = True
8.3420 	DATA 	Keypress: right
8.6242 	INFO 	Keyboard events cleared
8.6232 	EXP 	fixation: autoDraw = False
8.6232 	EXP 	grating: autoDraw = True
8.8097 	DATA 	Keypress: left
8.8232 	EXP 	fixation: autoDraw = False
8.8232 	EXP 	grating: autoDraw = False
8.8232 	EXP 	grating: ori = 7.0
8.8232 	EXP 	fixation: autoDraw = True
9.3070 	DATA 	Keypress: right
9.3224 	INFO 	Keyboard events cleared
9.3217 	EXP 	grating: autoDraw = True
9.3380 	EXP 	fixation: autoDraw = False
9.6212 	EXP 	grating: autoDraw = False
9.7596 	DATA 	Keypress: left
9.7729 	EXP 	fixation: autoDraw = False
9.7729 	EXP 	grating: autoDraw = False
9.7729 	EXP 	grating: ori = -7.5
9.7729 	EXP 	fixation: autoDraw = True
10.2562 	DATA 	Keypress: right
10.2716 	INFO 	Keyboard events cleared
10.2711 	EXP 	grating: autoDraw = True
10.2877 	EXP 	fixation: autoDraw = False
10.5709 	EXP 	grating: autoDraw = False
10.6569 	DATA 	Keypress: left
10.6709 	EXP 	fixation: autoDraw = False
10.6709 	EXP 	grating: autoDraw = False
10.6709 	EXP 	grating: ori = -7.5
10.6709 	EXP 	fixation: autoDraw = True
11.1716 	INFO 	Keyboard events cleared
11.1710 	EXP 	fixation: autoDraw = False
11.1710 	EXP 	grating: autoDraw = True
11.1900 	DATA 	Keypress: right
11.2045 	EXP 	fixation: autoDraw = False
11.2045 	EXP 	grating: autoDraw = False
11.2045 	EXP 	grating: ori = -8.0
11.2045 	EXP 	fixation: autoDraw = True
11.6231 	DATA 	Keypress: left
11.6886 	INFO 	Keyboard events cleared
11.6879 	EXP 	grating: autoDraw = True
11.7044 	EXP 	fixation: autoDraw = False
11.9880 	EXP 	grating: autoDraw = False
12.1733 	DATA 	Keypress: right
12.1875 	EXP 	fixation: autoDraw = False
12.1875 	EXP 	grating: autoDraw = False
12.1875 	EXP 	grating: ori = 8.5
12.1875 	EXP 	fixation: autoDraw = True
12.5552 	DATA 	Keypress: left
12.6885 	INFO 	Keyboard events cleared
12.6879 	EXP 	fixation: autoDraw = False
12.6879 	EXP 	grating: autoDraw = True
12.9877 	EXP 	grating: autoDraw = False
12.9902 	DATA 	Keypress: right
13.0040 	EXP 	fixation: autoDraw = False
13.0040 	EXP 	grating: autoDraw = False
