stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0329945,,0.0105482,0.0329945,0.6029114,0.6029114,0.610402,0.9121398,11.0215821,left,-10,0,0,10.2601334,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
1,1,12,11.0254593,,11.0217307,11.0254593,11.5282264,11.5282264,11.5282264,11.8281378,11.9965808,right,12,1,1,0.4654946,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
2,1,11,12.0111324,,11.996933,12.0111324,12.5114646,12.5114646,12.5114646,12.8114526,13.0968747,left,-11,1,1,0.578739,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
3,1,11,13.1117357,,13.0972291,13.1117357,13.6114883,13.6114883,13.6114883,13.9114609,14.8814966,left,-11,0,0,1.2639111,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
4,1,12,14.8947299,,14.881829,14.8947299,15.3952349,15.3952349,15.3952349,15.6947202,17.3463322,right,12,0,0,1.9420712,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
5,1,13,17.3612726,,17.3466935,17.3612726,17.8607668,17.8607668,17.8607668,18.1608296,18.1491437,left,-13,0,0,0.2847197,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
6,1,14,18.1608296,,18.149463,18.1608296,18.6616153,18.6616153,18.6616153,18.9608392,18.9798029,right,14,1,1,0.3106216,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
7,1,14,18.9944288,,18.9800954,18.9944288,19.49445,19.49445,19.49445,19.7971447,20.096037,left,-14,0,0,0.5957253,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
8,1,15,20.1111669,,20.096376,20.1111669,20.6109622,20.6109622,20.6109622,20.9115938,21.0799574,right,15,0,0,0.4549622,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
9,1,16,21.0946808,,21.0806094,21.0946808,21.5948246,21.5948246,21.5948246,,21.6799901,right,16,1,1,0.0737049,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
10,1,16,21.6948231,,21.6802809,21.6948231,22.1945198,22.1945198,22.1945198,22.494482,22.7636037,right,16,1,1,0.5523394,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
11,1,16,22.7778102,,22.7640012,22.7778102,23.2773353,23.2773353,23.2773353,23.577436,23.6956703,right,16,0,0,0.4058341,1,1,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.00376821,2024-09-06 13h02.40.634803 +0530
