stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.021701,,0.0035762,0.021701,0.5049218,0.5049218,0.5209177,0.8037889,3.0262723,left,-10,1,1,2.5146189,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
1,1,8,3.0379191,,3.0264429,3.0379191,3.5379229,3.5379229,3.5379229,3.8378548,4.4060662,right,8,0,0,0.8510962,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
2,1,9,4.4211592,,4.4062512,4.4211592,4.9211555,4.9211555,4.9211555,,5.1394162,right,9,1,1,0.2161682,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
3,1,9,5.154706,,5.1396194,5.154706,5.6545193,5.6545193,5.6545193,,5.7886273,left,-9,1,1,0.1284315,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
4,1,9,5.8046061,,5.7887615,5.8046061,6.2879159,6.2879159,6.3041716,6.5882509,6.7555259,left,-9,1,1,0.4609675,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
5,1,8,6.7710461,,6.7556693,6.7710461,7.2562282,7.2562282,7.2729004,,7.3739544,right,8,1,1,0.1129748,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
6,1,8,7.3883491,,7.3741098,7.3883491,7.8878737,7.8878737,7.8878737,,8.1105201,left,-8,1,1,None,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
7,1,8,8.1215761,,8.1106596,8.1215761,8.6231919,8.6231919,8.6231919,,8.8075495,left,-8,1,1,0.1672463,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
8,0.5,7,8.8232476,,8.8078366,8.8232476,9.3217275,9.3217275,9.33799,9.6212429,9.7578409,right,7,0,0,0.4236235,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
9,0.5,7.5,9.7729043,,9.758038,9.7729043,10.2710589,10.2710589,10.2877226,10.5708895,10.6556215,left,-7.5,1,1,0.3786061,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
