18.1608 	EXP 	grating: autoDraw = False
18.1608 	EXP 	grating: ori = 14.0
18.1608 	EXP 	fixation: autoDraw = True
18.6626 	INFO 	Keyboard events cleared
18.6616 	EXP 	fixation: autoDraw = False
18.6616 	EXP 	grating: autoDraw = True
18.9608 	EXP 	grating: autoDraw = False
18.9821 	DATA 	Keypress: right
18.9944 	EXP 	fixation: autoDraw = False
18.9944 	EXP 	grating: autoDraw = False
18.9944 	EXP 	grating: ori = -14.0
18.9944 	EXP 	fixation: autoDraw = True
19.4626 	DATA 	Keypress: left
19.4953 	INFO 	Keyboard events cleared
19.4945 	EXP 	fixation: autoDraw = False
19.4945 	EXP 	grating: autoDraw = True
19.7971 	EXP 	grating: autoDraw = False
20.0985 	DATA 	Keypress: right
20.1112 	EXP 	fixation: autoDraw = False
20.1112 	EXP 	grating: autoDraw = False
20.1112 	EXP 	grating: ori = 15.0
20.1112 	EXP 	fixation: autoDraw = True
20.5468 	DATA 	Keypress: left
20.6117 	INFO 	Keyboard events cleared
20.6110 	EXP 	fixation: autoDraw = False
20.6110 	EXP 	grating: autoDraw = True
20.9116 	EXP 	grating: autoDraw = False
21.0826 	DATA 	Keypress: left
21.0947 	EXP 	fixation: autoDraw = False
21.0947 	EXP 	grating: autoDraw = False
21.0947 	EXP 	grating: ori = 16.0
21.0947 	EXP 	fixation: autoDraw = True
21.5957 	INFO 	Keyboard events cleared
21.5948 	EXP 	fixation: autoDraw = False
21.5948 	EXP 	grating: autoDraw = True
21.6824 	DATA 	Keypress: right
21.6948 	EXP 	fixation: autoDraw = False
21.6948 	EXP 	grating: autoDraw = False
21.6948 	EXP 	grating: ori = 16.0
21.6948 	EXP 	fixation: autoDraw = True
22.1304 	DATA 	Keypress: left
22.1956 	INFO 	Keyboard events cleared
22.1945 	EXP 	fixation: autoDraw = False
22.1945 	EXP 	grating: autoDraw = True
22.4945 	EXP 	grating: autoDraw = False
22.7484 	DATA 	Keypress: right
22.7778 	EXP 	fixation: autoDraw = False
22.7778 	EXP 	grating: autoDraw = False
22.7778 	EXP 	grating: ori = 16.0
22.7778 	EXP 	fixation: autoDraw = True
23.2306 	DATA 	Keypress: right
23.2780 	INFO 	Keyboard events cleared
23.2773 	EXP 	fixation: autoDraw = False
23.2773 	EXP 	grating: autoDraw = True
23.5774 	EXP 	grating: autoDraw = False
23.6977 	DATA 	Keypress: left
23.7104 	EXP 	fixation: autoDraw = False
23.7104 	EXP 	grating: autoDraw = False
23.7104 	EXP 	grating: ori = 17.0
23.7104 	EXP 	fixation: autoDraw = True
24.1646 	DATA 	Keypress: left
24.1947 	INFO 	Keyboard events cleared
24.1938 	EXP 	grating: autoDraw = True
24.2107 	EXP 	fixation: autoDraw = False
24.4942 	EXP 	grating: autoDraw = False
24.6005 	DATA 	Keypress: right
24.6277 	EXP 	fixation: autoDraw = False
24.6277 	EXP 	grating: autoDraw = False
24.6277 	EXP 	grating: ori = -17.0
24.6277 	EXP 	fixation: autoDraw = True
25.0303 	DATA 	Keypress: right
25.1283 	INFO 	Keyboard events cleared
